"Country Name","Abuse Score 2021","Underlying Situation Score 2021","Global Score 2021","Global Score 2020","Global Score 2019"
"Norway",0,6.72,6.72,7.84,7.82
"Finland",0,6.99,6.99,7.93,7.9
"Sweden",0,7.24,7.24,9.25,8.31
"Denmark",0,8.57,8.57,8.13,9.87
"Costa Rica",10.99,8.21,8.76,10.53,12.24
"Netherlands",13.86,8.74,9.67,9.96,8.63
"Jamaica",0,9.96,9.96,10.51,11.13
"New Zealand",0,10.04,10.04,10.69,10.75
"Portugal",0,10.11,10.11,11.83,12.63
"Switzerland",6.93,10.55,10.55,10.62,10.52
"Belgium",6.93,11.69,11.69,12.57,12.07
"Ireland",0,11.91,11.91,12.6,15
"Germany",43.31,8.25,15.24,12.16,14.6
"Canada",0,15.25,15.25,15.29,15.69
"Estonia",0,15.25,15.25,12.61,12.27
"Iceland",0,15.37,15.37,15.12,14.71
"Austria",10.99,16.34,16.34,15.78,15.33
"Uruguay",0,16.38,16.38,15.79,16.06
"Suriname",0,16.95,16.95,17.5,16.38
"Luxembourg",0,17.56,17.56,15.46,15.66
"Samoa",0,19.24,19.24,18.25,18.25
"Latvia",0,19.26,19.26,18.56,19.53
"Liechtenstein",0,19.49,19.49,19.52,20.49
"Namibia",10.99,19.72,19.72,19.25,18.95
"Australia",0,19.79,19.79,20.21,16.55
"Cyprus",16.09,19.85,19.85,20.45,21.74
"Cabo Verde",0,20.09,20.09,20.15,19.81
"Lithuania",0,20.15,20.15,21.19,22.06
"Spain",23.98,19.7,20.44,22.16,21.99
"Ghana",17.92,21.33,21.33,22.26,20.81
"Trinidad and Tobago",0,21.55,21.55,23.22,24.74
"South Africa",45.64,15.61,21.59,22.41,22.19
"United Kingdom",13.86,21.65,21.59,22.93,22.23
"France",41.9,17.89,22.6,22.92,22.21
"Slovakia",0,23.02,23.02,22.67,23.58
"Slovenia",6.93,23.1,23.1,22.64,22.31
"Burkina Faso",6.93,23.17,23.17,23.47,24.53
"Botswana",6.93,23.25,23.25,23.56,25.09
"Andorra",0,23.32,23.32,23.23,24.63
"Czech Republic",0,23.38,23.38,23.57,24.89
"Italy",27.73,22.63,23.39,23.69,24.98
"South Korea",0,23.43,23.43,23.7,24.94
"Taiwan",0,23.86,23.86,23.76,24.98
"United States",39.7,20.03,23.93,23.85,25.69
"OECS",0,23.97,23.98,23.78,26.04
"Tonga",0,24.59,24.59,27.27,25.41
"Papua New Guinea",0,24.88,24.88,23.93,24.7
"Romania",0,24.91,24.91,25.91,25.67
"Senegal",28.33,24.62,25.22,23.99,25.81
"Dominican Republic",6.93,25.6,25.6,27.9,27.9
"Guyana",0,25.61,25.61,26.63,26.63
"Seychelles",0,25.66,25.66,28.66,29.41
"Belize",0,27.61,27.61,27.5,27.5
"Chile",30.45,27.36,27.89,27.31,25.65
"Fiji",0,27.92,27.92,27.41,27.18
"Croatia",0,27.95,27.95,28.51,29.03
"Madagascar",0,28.24,28.24,27.68,27.76
"Bosnia-Herzegovina",10.99,28.34,28.34,28.51,29.02
"Niger",13.86,28.44,28.44,28.25,29.26
"Georgia",0,28.64,28.64,28.59,28.98
"Mauritius",0,28.74,28.74,28,28.46
"Malawi",17.92,28.8,28.8,29.32,29.36
"Armenia",16.09,28.83,28.83,28.6,28.98
"Poland",33.32,28.02,28.84,28.65,28.89
"Bhutan",0,28.86,28.86,28.9,29.81
"Côte d’Ivoire",17.92,28.87,28.87,28.94,29.52
"Japan",0,28.88,28.88,28.86,29.36
"Mongolia",0,28.97,28.97,29.61,29.51
"Argentina",10.99,28.99,28.99,28.78,28.3
"Greece",32.19,28.43,29.01,28.8,29.08
"Timor-Leste",0,29.11,29.11,29.9,29.93
"Maldives",0,29.13,29.13,29.93,32.16
"Tunisia",0,29.53,29.53,29.45,29.61
"Togo",0,29.59,29.59,29.33,29.69
"Sierra Leone",17.92,29.61,29.61,30.28,30.36
"Northern Cyprus",0,29.82,29.82,29.79,29.67
"Panama",0,29.94,29.94,29.78,29.78
"Kosovo",19.46,30.32,30.32,29.33,29.68
"Kyrgyzstan",19.46,30.36,30.37,30.19,29.92
"Hong Kong",13.86,30.44,30.44,30.01,29.65
"Malta",0,30.46,30.46,30.16,29.74
"El Salvador",0,30.49,30.49,29.7,29.81
"Albania",23.98,30.59,30.59,30.25,29.84
"Comoros",6.93,30.65,30.65,29.77,27.91
"Gambia",6.93,30.76,30.76,30.62,31.35
